ID	Title	Place	Price
133	[2, 46.5, 3]	Ленинский	5300000
134	[2, 48.5, 9]	Ленинский	6100000
135	[3, 50.0, 2]	Советский	5700000
136	[3, 132.0, 2]	Первомайский	12990000
137	[1, 38.8, 6]	Октябрьский	3200000
138	[1, 30.0, 2]	Советский	2800000
139	[1, 42.0, 6]	Советский	6200000
140	[1, 30.0, 3]	Ворошиловский	3599000
141	[1, 31.3, 5]	Советский	3700000
142	[1, 34.6, 1]	Октябрьский	3500000
143	[2, 42.2, 3]	Пролетарский	4500000
144	[3, 62.0, 6]	Железнодорожный	8190000
145	[3, 54.5, 8]	Ворошиловский	4000000
146	[3, 63.3, 1]	Ворошиловский	6125000
147	[1, 25.0, 5]	Первомайский	2199000
148	[2, 53.0, 13]	Октябрьский	6500000
149	[1, 41.0, 2]	Советский	6800000
150	[2, 46.0, 6]	Октябрьский	5800000
151	[3, 62.5, 5]	Ворошиловский	4800000
152	[0, 25.0, 3]	Советский	3850000
153	[1, 29.0, 6]	Ленинский	5350000
154	[1, 39.0, 7]	Советский	4000000
155	[2, 50.0, 3]	Советский	6000000
156	[1, 42.0, 7]	Ворошиловский	4486000
157	[1, 52.0, 10]	Ленинский	8600000
158	[1, 19.3, 10]	Советский	2670000
159	[1, 43.0, 3]	Первомайский	3200000
160	[1, 42.5, 6]	Железнодорожный	5350000
161	[3, 53.8, 4]	Первомайский	4300000
162	[2, 40.0, 10]	Советский	5500000
163	[1, 24.0, 1]	Пролетарский	1450000
164	[1, 34.0, 15]	Октябрьский	4200000
165	[1, 30.0, 2]	Советский	4099000
166	[1, 44.0, 2]	Советский	4900000
167	[1, 30.0, 2]	Советский	4099000
168	[3, 73.0, 7]	Пролетарский	6900000
169	[1, 44.0, 2]	Советский	4900000
170	[1, 36.6, 9]	Ворошиловский	5950000
171	[1, 35.0, 5]	Ленинский	5699999
172	[2, 56.0, 2]	Пролетарский	5500000
173	[1, 33.0, 4]	Первомайский	3650000
174	[1, 39.6, 9]	Ворошиловский	4550000
175	[1, 38.0, 4]	Советский	6500000
176	[1, 20.2, 2]	Кировский	2600000
177	[0, 28.0, 2]	Ленинский	4300000
178	[1, 32.3, 2]	Пролетарский	3150000
179	[3, 58.0, 8]	Октябрьский	8600000
180	[1, 23.0, 4]	Первомайский	2270000
181	[3, 76.0, 17]	Октябрьский	11500000
182	[2, 64.0, 15]	Кировский	11500000
183	[2, 54.4, 3]	Первомайский	5450000
184	[1, 31.0, 1]	Ворошиловский	3500000
185	[1, 38.9, 4]	Кировский	7500000
186	[1, 30.0, 4]	Ворошиловский	2750000
187	[0, 30.6, 5]	Кировский	5100000
188	[2, 42.0, 20]	Пролетарский	6390000
189	[1, 31.0, 1]	Ворошиловский	3500000
190	[1, 30.0, 4]	Ворошиловский	2750000
191	[0, 30.6, 5]	Кировский	5100000
192	[4, 60.0, 1]	Пролетарский	3300000
193	[2, 42.0, 20]	Пролетарский	6390000
194	[1, 40.0, 10]	Первомайский	5600000
195	[2, 58.0, 9]	Ворошиловский	6350000
196	[1, 30.0, 6]	Октябрьский	2500000
197	[2, 52.0, 3]	Ворошиловский	4950000
198	[1, 55.0, 17]	Ворошиловский	7400000
199	[1, 30.0, 6]	Первомайский	2799000
200	[0, 29.0, 10]	Октябрьский	3300000
201	[0, 27.0, 5]	Октябрьский	3300000
202	[2, 37.6, 3]	Ленинский	5950000
203	[2, 47.0, 4]	Кировский	5050000
204	[1, 42.0, 7]	Железнодорожный	5070000
205	[0, 36.0, 1]	Ленинский	4600000
206	[0, 28.0, 1]	Советский	3300000
